Set class,Species
0 1 3 5 6 7,Caesalpinia major
0 1 3 4 6 7,Caesalpinia bonduc
0 1 3 4 5 8,Senna ligustrina
0 3 4 5 7 8,Senna mexicana var. chapmanii
0 1 2 4 5 8,Senna obtusifolia
0 3 4 6 7 8,Chamaecrista deeringiana
0 1 4 5 6 8,Chamaecrista fasciculata
0 2 3 4 7 8,Chamaecrista lineata var. keyensis
0 1 2 4 7 8,Chamaecrista nictitans var. aspera
0 1 4 6 7 8,Chamaecrista nictitans var. nictitans
0 1 2 5 7 8,Sophora tomentosa var. truncata
0 1 3 6 7 8,Dalbergia brownei
0 1 3 4 7 8,Dalbergia ecastaphyllum
0 1 4 5 7 8,Lupinus diffusus
0 1 4 5 8 9,Piscidia piscipula 
0 2 3 4 6 8,Crotalaria pumila
0 2 4 5 6 8,Crotalaria rotundifolia 
0 1 2 4 6 8,Aeschynomene americana
0 2 4 6 7 8,Aeschynomene viscidula
0 2 3 5 6 8,Desmanthus virgatus 
0 1 3 4 6 8,Desmodium floridanum
0 2 4 5 7 8,Desmodium incanum
0 1 3 5 6 8,Desmodium lineatum
0 2 3 5 7 8,Desmodium marilandicum 
0 1 3 5 7 8,Desmodium paniculatum
0 1 3 4 6 9,Desmodium strictum
0 3 5 6 8 9,Galactia elliottii 
0 1 3 5 6 9,Galactia floridana
0 2 3 6 7 9,Galactia parvifolia
0 1 3 6 7 9,Galactia pinetorum
0 2 3 6 8 9,Galactia regularis
0 1 4 5 7 9,Galactia striata
0 2 4 5 8 9,Galactia volubilis 
0 2 4 5 7 9,Indigofera miniata var. florida
0 2 3 5 7 9,Phaseolus polystachios var. sinuatus
0 2 4 6 7 9,Rhynchosia cinerea
0 1 3 5 7 9,Rhynchosia michauxii
0 2 4 6 8 9,Rhynchosia minima
0 2 4 6 8 10,Rhynchosia parvifolia
0 3 4 5 6 7,Rhynchosia precatoria
0 1 2 3 4 7,Rhynchosia reniformis 
0 1 2 3 4 8,Apios americana 
0 1 2 3 7 8,Canavalia rosea
0 3 4 5 6 8,Chapmannia floridana
